time_gbp,time_eur,time_eurgbp,one,tow
2024-06-20 09:05:41.467000,2024-06-20 09:05:41.467000,2024-06-20 09:05:41.467000,-7.950000000003232,-1.0499999999891152
2024-06-20 09:05:41.669000,2024-06-20 09:05:41.669000,2024-06-20 09:05:41.669000,-6.949999999996681,-2.0499999999956664
2024-06-20 09:05:42.284000,2024-06-20 09:05:42.284000,2024-06-20 09:05:42.284000,-7.799999999983376,-1.2000000000089717
2024-06-20 09:05:42.382000,2024-06-20 09:05:42.382000,2024-06-20 09:05:42.382000,-6.799999999976825,-2.200000000015523
2024-06-20 09:05:42.479000,2024-06-20 09:05:42.479000,2024-06-20 09:05:42.479000,-7.799999999983376,-1.2000000000089717
2024-06-20 09:05:43.278000,2024-06-20 09:05:43.278000,2024-06-20 09:05:43.278000,-7.799999999983376,0.7999999999930285
2024-06-20 09:05:45.885000,2024-06-20 09:05:45.885000,2024-06-20 09:05:45.885000,-7.799999999983376,-1.2000000000089717
2024-06-20 09:05:45.988000,2024-06-20 09:05:45.988000,2024-06-20 09:05:45.988000,-6.799999999976825,-2.200000000015523
2024-06-20 09:05:46.186000,2024-06-20 09:05:46.186000,2024-06-20 09:05:46.186000,-7.799999999983376,-1.2000000000089717
2024-06-20 09:05:47.085000,2024-06-20 09:05:47.085000,2024-06-20 09:05:47.085000,-6.799999999976825,-2.200000000015523
2024-06-20 09:05:47.387000,2024-06-20 09:05:47.387000,2024-06-20 09:05:47.387000,-7.649999999982393,-1.3500000000099543
2024-06-20 09:05:47.587000,2024-06-20 09:05:47.587000,2024-06-20 09:05:47.587000,-8.649999999988944,-0.3500000000145054
2024-06-20 09:05:47.885000,2024-06-20 09:05:47.885000,2024-06-20 09:05:47.885000,-8.649999999988944,-1.3500000000099543
2024-06-20 09:05:48.085000,2024-06-20 09:05:48.085000,2024-06-20 09:05:48.085000,-7.649999999982393,-1.3500000000099543
2024-06-20 09:05:48.291000,2024-06-20 09:05:48.291000,2024-06-20 09:05:48.291000,-8.649999999988944,-0.3500000000034031
2024-06-20 09:05:48.385000,2024-06-20 09:05:48.385000,2024-06-20 09:05:48.385000,-9.649999999995496,-0.3500000000034031
2024-06-20 09:05:48.582000,2024-06-20 09:05:48.582000,2024-06-20 09:05:48.582000,-8.649999999988944,-0.3500000000034031
2024-06-20 09:05:49.083000,2024-06-20 09:05:49.083000,2024-06-20 09:05:49.083000,-8.649999999988944,0.6499999999920458
2024-06-20 09:05:49.487000,2024-06-20 09:05:49.487000,2024-06-20 09:05:49.487000,-8.649999999988944,-0.3500000000034031
2024-06-20 09:05:49.783000,2024-06-20 09:05:49.783000,2024-06-20 09:05:49.783000,-8.649999999988944,0.6499999999920458
2024-06-20 09:05:50.083000,2024-06-20 09:05:50.083000,2024-06-20 09:05:50.083000,-8.649999999988944,-0.3500000000034031
2024-06-20 09:05:50.484000,2024-06-20 09:05:50.484000,2024-06-20 09:05:50.484000,-7.799999999983376,-1.2000000000089717
2024-06-20 09:05:52.187000,2024-06-20 09:05:52.187000,2024-06-20 09:05:52.187000,-8.649999999988944,-0.3500000000034031
2024-06-20 09:05:57.307000,2024-06-20 09:05:57.307000,2024-06-20 09:05:57.307000,-9.649999999995496,0.6500000000031481
2024-06-20 09:05:57.351000,2024-06-20 09:05:57.351000,2024-06-20 09:05:57.351000,-8.799999999989927,-0.2000000000024204
2024-06-20 09:05:57.400000,2024-06-20 09:05:57.400000,2024-06-20 09:05:57.400000,-10.799999999980823,1.7999999999884777
2024-06-20 09:05:57.407000,2024-06-20 09:05:57.407000,2024-06-20 09:05:57.407000,-10.799999999980823,2.7999999999839265
2024-06-20 09:05:57.597000,2024-06-20 09:05:57.597000,2024-06-20 09:05:57.597000,-9.799999999985376,2.7999999999839265
2024-06-20 09:05:57.896000,2024-06-20 09:05:57.896000,2024-06-20 09:05:57.896000,-10.799999999980823,2.7999999999839265
2024-06-20 09:05:58.097000,2024-06-20 09:05:58.097000,2024-06-20 09:05:58.097000,-9.799999999985376,2.7999999999839265
2024-06-20 09:05:58.298000,2024-06-20 09:05:58.298000,2024-06-20 09:05:58.298000,-10.799999999980823,2.7999999999839265
2024-06-20 09:05:58.996000,2024-06-20 09:05:58.996000,2024-06-20 09:05:58.996000,-9.799999999985376,2.7999999999839265
2024-06-20 09:05:59.705000,2024-06-20 09:05:59.705000,2024-06-20 09:05:59.705000,-11.799999999987376,2.7999999999839265
2024-06-20 09:05:59.711000,2024-06-20 09:05:59.711000,2024-06-20 09:05:59.711000,-7.549999999997281,-1.4500000000061686
2024-06-20 09:05:59.810000,2024-06-20 09:05:59.810000,2024-06-20 09:05:59.810000,-6.849999999981593,-0.1500000000198564
2024-06-20 09:05:59.810000,2024-06-20 09:05:59.810000,2024-06-20 09:05:59.810000,-6.849999999981593,-0.1500000000198564
2024-06-20 09:06:00.004000,2024-06-20 09:06:00.004000,2024-06-20 09:06:00.004000,-6.849999999981593,-0.1500000000198564
2024-06-20 09:06:00.036000,2024-06-20 09:06:00.036000,2024-06-20 09:06:00.036000,-6.849999999981593,-0.1500000000198564
2024-06-20 09:06:00.203000,2024-06-20 09:06:00.203000,2024-06-20 09:06:00.203000,-6.849999999981593,-0.1500000000198564
2024-06-20 09:06:00.901000,2024-06-20 09:06:00.901000,2024-06-20 09:06:00.901000,-6.849999999981593,-2.1500000000107544
2024-06-20 09:06:04.399000,2024-06-20 09:06:04.399000,2024-06-20 09:06:04.399000,-7.699999999987162,-1.300000000005186
2024-06-20 09:06:04.600000,2024-06-20 09:06:04.600000,2024-06-20 09:06:04.600000,-6.849999999981593,-2.1500000000107544
2024-06-20 09:06:04.701000,2024-06-20 09:06:04.701000,2024-06-20 09:06:04.701000,-6.849999999981593,-0.1500000000198564
2024-06-20 09:06:04.802000,2024-06-20 09:06:04.802000,2024-06-20 09:06:04.802000,-8.699999999993713,0.699999999985712
2024-06-20 09:06:04.802000,2024-06-20 09:06:04.802000,2024-06-20 09:06:04.802000,-8.699999999993713,0.699999999985712
2024-06-20 09:06:04.900000,2024-06-20 09:06:04.900000,2024-06-20 09:06:04.900000,-7.699999999987162,0.699999999985712
2024-06-20 09:06:04.901000,2024-06-20 09:06:04.901000,2024-06-20 09:06:04.901000,-6.849999999981593,-0.1500000000198564
2024-06-20 09:06:05.302000,2024-06-20 09:06:05.302000,2024-06-20 09:06:05.302000,-6.849999999981593,-1.1500000000153054
2024-06-20 09:06:05.303000,2024-06-20 09:06:05.303000,2024-06-20 09:06:05.303000,-7.699999999987162,-0.3000000000097369
2024-06-20 09:06:05.402000,2024-06-20 09:06:05.402000,2024-06-20 09:06:05.402000,-7.699999999987162,-1.1500000000153054
2024-06-20 09:06:05.602000,2024-06-20 09:06:05.602000,2024-06-20 09:06:05.602000,-7.699999999987162,-0.3000000000097369
2024-06-20 09:06:05.701000,2024-06-20 09:06:05.701000,2024-06-20 09:06:05.701000,-6.849999999981593,-1.1500000000153054
2024-06-20 09:06:06.101000,2024-06-20 09:06:06.101000,2024-06-20 09:06:06.101000,-6.849999999981593,-0.1500000000198564
2024-06-20 09:06:06.501000,2024-06-20 09:06:06.501000,2024-06-20 09:06:06.501000,-6.849999999981593,-1.1500000000153054
2024-06-20 09:06:06.802000,2024-06-20 09:06:06.802000,2024-06-20 09:06:06.802000,-7.849999999988144,-1.1500000000153054
2024-06-20 09:06:07.810000,2024-06-20 09:06:07.810000,2024-06-20 09:06:07.810000,-7.849999999988144,-0.1500000000198564
2024-06-20 09:06:08.108000,2024-06-20 09:06:08.108000,2024-06-20 09:06:08.108000,-7.849999999988144,-1.1500000000153054
2024-06-20 09:06:09.015000,2024-06-20 09:06:09.015000,2024-06-20 09:06:09.015000,-7.849999999988144,-0.1500000000198564
2024-06-20 09:06:09.714000,2024-06-20 09:06:09.714000,2024-06-20 09:06:09.714000,-7.849999999988144,-1.1500000000153054
2024-06-20 09:06:12.114000,2024-06-20 09:06:12.114000,2024-06-20 09:06:12.114000,-7.849999999988144,-0.1500000000198564
2024-06-20 09:06:12.813000,2024-06-20 09:06:12.813000,2024-06-20 09:06:12.813000,-7.849999999988144,-1.1500000000153054
2024-06-20 09:06:13.111000,2024-06-20 09:06:13.111000,2024-06-20 09:06:13.111000,-7.849999999988144,-0.1500000000198564
2024-06-20 09:06:17.423000,2024-06-20 09:06:17.423000,2024-06-20 09:06:17.423000,-7.849999999988144,-1.1500000000153054
2024-06-20 09:06:18.721000,2024-06-20 09:06:18.721000,2024-06-20 09:06:18.721000,-10.849999999985592,1.849999999982144
2024-06-20 09:06:18.722000,2024-06-20 09:06:18.722000,2024-06-20 09:06:18.722000,-9.849999999979042,0.8499999999866947
2024-06-20 09:06:18.730000,2024-06-20 09:06:18.730000,2024-06-20 09:06:18.730000,-8.999999999992347,0.0
2024-06-20 09:06:18.821000,2024-06-20 09:06:18.821000,2024-06-20 09:06:18.821000,-7.999999999996898,-0.8500000000055685
2024-06-20 09:06:18.821000,2024-06-20 09:06:18.821000,2024-06-20 09:06:18.821000,-7.999999999996898,-0.8500000000055685
2024-06-20 09:06:18.829000,2024-06-20 09:06:18.829000,2024-06-20 09:06:18.829000,-9.00000000000345,0.1500000000009826
2024-06-20 09:06:18.958000,2024-06-20 09:06:18.958000,2024-06-20 09:06:18.958000,-7.999999999996898,-0.8500000000055685
2024-06-20 09:06:19.020000,2024-06-20 09:06:19.020000,2024-06-20 09:06:19.020000,-7.999999999996898,0.0
2024-06-20 09:06:19.220000,2024-06-20 09:06:19.220000,2024-06-20 09:06:19.220000,-7.999999999996898,-0.8500000000055685
2024-06-20 09:06:19.420000,2024-06-20 09:06:19.420000,2024-06-20 09:06:19.420000,-7.999999999996898,0.0
2024-06-20 09:06:19.519000,2024-06-20 09:06:19.519000,2024-06-20 09:06:19.519000,-7.999999999996898,-1.0000000000065512
2024-06-20 09:06:19.720000,2024-06-20 09:06:19.720000,2024-06-20 09:06:19.720000,-7.999999999996898,-1.85000000001212
2024-06-20 09:06:19.920000,2024-06-20 09:06:19.920000,2024-06-20 09:06:19.920000,-7.999999999996898,0.0
2024-06-20 09:06:19.920000,2024-06-20 09:06:19.920000,2024-06-20 09:06:19.920000,-7.999999999996898,0.0
2024-06-20 09:06:20.221000,2024-06-20 09:06:20.221000,2024-06-20 09:06:20.221000,-7.999999999996898,-0.8500000000055685
2024-06-20 09:06:20.818000,2024-06-20 09:06:20.818000,2024-06-20 09:06:20.818000,-7.999999999996898,-1.85000000001212
2024-06-20 09:06:22.228000,2024-06-20 09:06:22.228000,2024-06-20 09:06:22.228000,-6.0000000000060005,-3.8500000000030177
2024-06-20 09:06:22.234000,2024-06-20 09:06:22.234000,2024-06-20 09:06:22.234000,-7.0000000000014495,-3.8500000000030177
2024-06-20 09:06:22.270000,2024-06-20 09:06:22.270000,2024-06-20 09:06:22.270000,-7.0000000000014495,-2.999999999997449
2024-06-20 09:06:22.327000,2024-06-20 09:06:22.327000,2024-06-20 09:06:22.327000,-7.0000000000014495,-1.999999999990898
2024-06-20 09:06:22.347000,2024-06-20 09:06:22.347000,2024-06-20 09:06:22.347000,-7.849999999988144,-1.999999999990898
2024-06-20 09:06:23.326000,2024-06-20 09:06:23.326000,2024-06-20 09:06:23.326000,-6.849999999981593,-2.999999999997449
2024-06-20 09:06:23.428000,2024-06-20 09:06:23.428000,2024-06-20 09:06:23.428000,-7.849999999988144,-1.999999999990898
2024-06-20 09:06:26.036000,2024-06-20 09:06:26.036000,2024-06-20 09:06:26.036000,-7.0000000000014495,-1.999999999990898
2024-06-20 09:06:26.140000,2024-06-20 09:06:26.140000,2024-06-20 09:06:26.140000,-7.849999999988144,-1.999999999990898
2024-06-20 09:06:26.333000,2024-06-20 09:06:26.333000,2024-06-20 09:06:26.333000,-7.849999999988144,-1.1500000000042032
2024-06-20 09:06:28.639000,2024-06-20 09:06:28.639000,2024-06-20 09:06:28.639000,-7.849999999988144,-1.999999999990898
2024-06-20 09:06:29.246000,2024-06-20 09:06:29.246000,2024-06-20 09:06:29.246000,-7.849999999988144,-1.1500000000042032
2024-06-20 09:06:29.542000,2024-06-20 09:06:29.542000,2024-06-20 09:06:29.542000,-7.849999999988144,-0.1500000000087542
2024-06-20 09:06:29.547000,2024-06-20 09:06:29.547000,2024-06-20 09:06:29.547000,-7.0000000000014495,-0.999999999995449
2024-06-20 09:06:30.041000,2024-06-20 09:06:30.041000,2024-06-20 09:06:30.041000,-7.849999999988144,-0.999999999995449
2024-06-20 09:06:31.045000,2024-06-20 09:06:31.045000,2024-06-20 09:06:31.045000,-8.849999999994695,1.1102230246251564e-11
2024-06-20 09:06:31.048000,2024-06-20 09:06:31.048000,2024-06-20 09:06:31.048000,-8.000000000008,1.1102230246251564e-11
2024-06-20 09:06:31.151000,2024-06-20 09:06:31.151000,2024-06-20 09:06:31.151000,-9.000000000014552,1.0000000000065512
2024-06-20 09:06:31.544000,2024-06-20 09:06:31.544000,2024-06-20 09:06:31.544000,-8.000000000008,0.0
2024-06-20 09:06:31.644000,2024-06-20 09:06:31.644000,2024-06-20 09:06:31.644000,-9.9999999999989,0.0
2024-06-20 09:06:31.644000,2024-06-20 09:06:31.644000,2024-06-20 09:06:31.644000,-9.9999999999989,0.0
2024-06-20 09:06:31.946000,2024-06-20 09:06:31.946000,2024-06-20 09:06:31.946000,-10.849999999985592,0.8499999999866947
2024-06-20 09:06:32.148000,2024-06-20 09:06:32.148000,2024-06-20 09:06:32.148000,-9.9999999999989,0.0
2024-06-20 09:06:32.249000,2024-06-20 09:06:32.249000,2024-06-20 09:06:32.249000,-9.9999999999989,-0.8500000000055685
2024-06-20 09:06:32.447000,2024-06-20 09:06:32.447000,2024-06-20 09:06:32.447000,-9.9999999999989,0.0
2024-06-20 09:06:33.245000,2024-06-20 09:06:33.245000,2024-06-20 09:06:33.245000,-9.9999999999989,0.999999999995449
2024-06-20 09:06:33.246000,2024-06-20 09:06:33.246000,2024-06-20 09:06:33.246000,-9.9999999999989,0.1499999999898804
2024-06-20 09:06:34.451000,2024-06-20 09:06:34.451000,2024-06-20 09:06:34.451000,-9.9999999999989,-0.8500000000055685
2024-06-20 09:06:34.452000,2024-06-20 09:06:34.452000,2024-06-20 09:06:34.452000,-9.9999999999989,0.0
2024-06-20 09:06:35.052000,2024-06-20 09:06:35.052000,2024-06-20 09:06:35.052000,-9.9999999999989,-0.8500000000055685
2024-06-20 09:06:35.249000,2024-06-20 09:06:35.249000,2024-06-20 09:06:35.249000,-9.9999999999989,0.0
