time,one,tow
2024-06-24 20:01:16.419067,-0.14,-0.04
2024-06-24 20:01:16.434477,-0.14,-0.04
2024-06-24 20:01:16.466993,-0.14,-0.04
2024-06-24 20:01:16.496932,-0.14,-0.04
2024-06-24 20:01:16.512617,-0.14,-0.04
2024-06-24 20:01:16.543808,-0.14,-0.04
2024-06-24 20:01:16.559454,-0.14,-0.04
2024-06-24 20:01:16.575107,-0.14,-0.04
2024-06-24 20:01:16.590734,-0.14,-0.04
2024-06-24 20:01:16.606343,-0.14,-0.04
2024-06-24 20:01:16.621953,-0.14,-0.04
2024-06-24 20:01:16.637601,-0.14,-0.04
2024-06-24 20:01:16.653188,-0.14,-0.04
2024-06-24 20:01:16.668838,-0.14,-0.04
2024-06-24 20:01:16.700174,-0.16,-0.05
2024-06-24 20:01:16.715757,-0.16,-0.05
2024-06-24 20:01:16.746945,-0.16,-0.05
2024-06-24 20:01:16.778231,-0.16,-0.05
2024-06-24 20:01:16.793845,-0.16,-0.05
2024-06-24 20:01:16.825523,-0.16,-0.05
2024-06-24 20:01:16.840692,-0.16,-0.05
2024-06-24 20:01:16.856353,-0.16,-0.05
2024-06-24 20:01:16.871956,-0.16,-0.05
2024-06-24 20:01:16.888143,-0.16,-0.05
2024-06-24 20:01:16.918848,-0.16,-0.05
2024-06-24 20:01:16.950069,-0.16,-0.05
2024-06-24 20:01:16.965744,-0.16,-0.05
2024-06-24 20:01:16.996943,-0.16,-0.05
2024-06-24 20:01:17.012573,-0.16,-0.05
2024-06-24 20:01:17.028198,-0.16,-0.05
2024-06-24 20:01:17.043856,-0.16,-0.05
2024-06-24 20:01:17.075113,-0.16,-0.05
2024-06-24 20:01:17.106347,-0.16,-0.05
2024-06-24 20:01:17.137605,-0.16,-0.05
2024-06-24 20:01:17.168823,-0.16,-0.05
2024-06-24 20:01:17.200064,-0.16,-0.05
2024-06-24 20:01:17.215769,-0.16,-0.05
2024-06-24 20:01:17.231346,-0.16,-0.05
2024-06-24 20:01:17.246938,-0.16,-0.05
2024-06-24 20:01:17.262557,-0.16,-0.05
2024-06-24 20:01:17.278216,-0.16,-0.05
2024-06-24 20:01:17.293838,-0.16,-0.05
2024-06-24 20:01:17.325052,-0.16,-0.05
2024-06-24 20:01:17.340693,-0.16,-0.05
2024-06-24 20:01:17.356304,-0.16,-0.05
2024-06-24 20:01:17.387706,-0.16,-0.05
2024-06-24 20:01:17.418826,-0.16,-0.05
2024-06-24 20:01:17.450097,-0.16,-0.05
2024-06-24 20:01:17.481355,-0.16,-0.05
2024-06-24 20:01:17.512555,-0.16,-0.05
2024-06-24 20:01:17.543815,-0.16,-0.05
2024-06-24 20:01:17.575065,-0.16,-0.05
2024-06-24 20:01:17.606411,-0.16,-0.05
2024-06-24 20:01:17.637558,-0.16,-0.05
2024-06-24 20:01:17.668863,-0.16,-0.05
2024-06-24 20:01:17.700106,-0.16,-0.05
2024-06-24 20:01:17.731366,-0.16,-0.05
2024-06-24 20:01:17.762583,-0.15,-0.06
2024-06-24 20:01:17.793919,-0.15,-0.06
2024-06-24 20:01:17.825102,-0.15,-0.06
2024-06-24 20:01:17.856329,-0.15,-0.06
2024-06-24 20:01:17.887585,-0.15,-0.06
2024-06-24 20:01:17.918802,-0.15,-0.06
2024-06-24 20:01:17.950058,-0.15,-0.06
2024-06-24 20:01:17.981331,-0.15,-0.06
2024-06-24 20:01:18.012609,-0.15,-0.06
2024-06-24 20:01:18.043837,-0.15,-0.06
2024-06-24 20:01:18.075069,-0.15,-0.06
2024-06-24 20:01:18.106374,-0.15,-0.06
2024-06-24 20:01:18.137617,-0.15,-0.06
2024-06-24 20:01:18.153266,-0.15,-0.06
2024-06-24 20:01:18.184473,-0.15,-0.06
2024-06-24 20:01:18.215770,-0.15,-0.06
2024-06-24 20:01:18.246929,-0.15,-0.06
2024-06-24 20:01:18.278207,-0.15,-0.06
2024-06-24 20:01:18.309483,-0.15,-0.06
2024-06-24 20:01:18.340707,-0.15,-0.06
2024-06-24 20:01:18.371950,-0.15,-0.06
2024-06-24 20:01:18.403194,-0.15,-0.06
