time,bid,ask,last,volume,time_msc,flags,volume_real
2024-06-20 09:04:00.008,1.27118,1.27118,0.0,0,1718861640008,134,0.0
2024-06-20 09:04:00.211,1.2711700000000001,1.2711700000000001,0.0,0,1718861640211,134,0.0
2024-06-20 09:04:02.210,1.27118,1.27118,0.0,0,1718861642210,134,0.0
2024-06-20 09:04:03.013,1.2711700000000001,1.2711700000000001,0.0,0,1718861643013,134,0.0
2024-06-20 09:04:05.418,1.27118,1.27118,0.0,0,1718861645418,134,0.0
2024-06-20 09:04:10.784,1.27119,1.27119,0.0,0,1718861650784,134,0.0
2024-06-20 09:04:10.958,1.2711999999999999,1.2711999999999999,0.0,0,1718861650958,134,0.0
2024-06-20 09:04:18.472,1.27118,1.27118,0.0,0,1718861658472,134,0.0
2024-06-20 09:04:19.171,1.27119,1.27119,0.0,0,1718861659171,134,0.0
2024-06-20 09:04:30.495,1.27118,1.27118,0.0,0,1718861670495,134,0.0
2024-06-20 09:04:32.308,1.2711700000000001,1.2711700000000001,0.0,0,1718861672308,134,0.0
2024-06-20 09:04:43.117,1.27118,1.27118,0.0,0,1718861683117,134,0.0
2024-06-20 09:04:43.213,1.2711700000000001,1.2711700000000001,0.0,0,1718861683213,134,0.0
2024-06-20 09:04:43.620,1.27118,1.27118,0.0,0,1718861683620,134,0.0
2024-06-20 09:04:44.016,1.2711700000000001,1.2711700000000001,0.0,0,1718861684016,134,0.0
2024-06-20 09:04:49.996,1.27116,1.27116,0.0,0,1718861689996,134,0.0
2024-06-20 09:04:50.093,1.2711700000000001,1.2711700000000001,0.0,0,1718861690093,134,0.0
2024-06-20 09:04:59.012,1.27116,1.27116,0.0,0,1718861699012,134,0.0
2024-06-20 09:04:59.118,1.27114,1.27114,0.0,0,1718861699118,134,0.0
2024-06-20 09:04:59.215,1.27115,1.27115,0.0,0,1718861699215,134,0.0
2024-06-20 09:05:00.013,1.27115,1.27115,0.0,0,1718861700013,130,0.0
2024-06-20 09:05:04.232,1.27114,1.27114,0.0,0,1718861704232,134,0.0
2024-06-20 09:05:04.319,1.27115,1.27115,0.0,0,1718861704319,134,0.0
2024-06-20 09:05:04.416,1.27116,1.27116,0.0,0,1718861704416,134,0.0
2024-06-20 09:05:04.525,1.27115,1.27115,0.0,0,1718861704525,134,0.0
2024-06-20 09:05:04.717,1.27116,1.27116,0.0,0,1718861704717,134,0.0
2024-06-20 09:05:12.034,1.27116,1.2711700000000001,0.0,0,1718861712034,4,0.0
2024-06-20 09:05:12.233,1.2711700000000001,1.2711700000000001,0.0,0,1718861712233,130,0.0
2024-06-20 09:05:12.433,1.27116,1.2711700000000001,0.0,0,1718861712433,130,0.0
2024-06-20 09:05:14.335,1.27116,1.27116,0.0,0,1718861714335,4,0.0
2024-06-20 09:05:26.191,1.27111,1.27111,0.0,0,1718861726191,134,0.0
2024-06-20 09:05:26.385,1.27109,1.27109,0.0,0,1718861726385,134,0.0
2024-06-20 09:05:26.783,1.27108,1.27108,0.0,0,1718861726783,134,0.0
2024-06-20 09:05:27.084,1.27109,1.27109,0.0,0,1718861727084,134,0.0
2024-06-20 09:05:27.187,1.27108,1.27108,0.0,0,1718861727187,134,0.0
2024-06-20 09:05:28.086,1.27109,1.27109,0.0,0,1718861728086,134,0.0
2024-06-20 09:05:34.799,1.2711000000000001,1.2711000000000001,0.0,0,1718861734799,134,0.0
2024-06-20 09:05:41.467,1.27111,1.27111,0.0,0,1718861741467,134,0.0
2024-06-20 09:05:42.284,1.2711000000000001,1.2711000000000001,0.0,0,1718861742284,134,0.0
2024-06-20 09:05:47.387,1.27109,1.27109,0.0,0,1718861747387,134,0.0
2024-06-20 09:05:50.484,1.2711000000000001,1.2711000000000001,0.0,0,1718861750484,134,0.0
2024-06-20 09:05:52.187,1.27109,1.27109,0.0,0,1718861752187,134,0.0
2024-06-20 09:05:57.351,1.2711000000000001,1.2711000000000001,0.0,0,1718861757351,134,0.0
2024-06-20 09:05:59.711,1.27115,1.27115,0.0,0,1718861759711,134,0.0
2024-06-20 09:05:59.810,1.2711700000000001,1.2711700000000001,0.0,0,1718861759810,134,0.0
2024-06-20 09:06:00.036,1.2711700000000001,1.2711700000000001,0.0,0,1718861760036,130,0.0
2024-06-20 09:06:04.399,1.27116,1.27116,0.0,0,1718861764399,134,0.0
2024-06-20 09:06:04.600,1.2711700000000001,1.2711700000000001,0.0,0,1718861764600,134,0.0
2024-06-20 09:06:04.802,1.27116,1.27116,0.0,0,1718861764802,134,0.0
2024-06-20 09:06:04.901,1.2711700000000001,1.2711700000000001,0.0,0,1718861764901,134,0.0
2024-06-20 09:06:05.303,1.27116,1.27116,0.0,0,1718861765303,134,0.0
2024-06-20 09:06:05.402,1.27116,1.2711700000000001,0.0,0,1718861765402,4,0.0
2024-06-20 09:06:05.602,1.27116,1.27116,0.0,0,1718861765602,4,0.0
2024-06-20 09:06:05.701,1.2711700000000001,1.2711700000000001,0.0,0,1718861765701,134,0.0
2024-06-20 09:06:18.730,1.27118,1.27118,0.0,0,1718861778730,134,0.0
2024-06-20 09:06:18.821,1.27118,1.27119,0.0,0,1718861778821,4,0.0
2024-06-20 09:06:19.020,1.27118,1.27118,0.0,0,1718861779020,4,0.0
2024-06-20 09:06:19.220,1.27118,1.27119,0.0,0,1718861779220,4,0.0
2024-06-20 09:06:19.420,1.27118,1.27118,0.0,0,1718861779420,4,0.0
2024-06-20 09:06:19.720,1.27118,1.27119,0.0,0,1718861779720,4,0.0
2024-06-20 09:06:19.920,1.27118,1.27118,0.0,0,1718861779920,4,0.0
2024-06-20 09:06:20.221,1.27118,1.27119,0.0,0,1718861780221,4,0.0
2024-06-20 09:06:22.270,1.27118,1.27118,0.0,0,1718861782270,4,0.0
2024-06-20 09:06:22.347,1.2711700000000001,1.27118,0.0,0,1718861782347,130,0.0
2024-06-20 09:06:26.036,1.27118,1.27118,0.0,0,1718861786036,130,0.0
2024-06-20 09:06:26.140,1.2711700000000001,1.27118,0.0,0,1718861786140,130,0.0
